Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,50,0,140,168.74370630132034,108.31199598032981,549.518337007612,18490.0,0.16727223454316315,0.0,140,170,180,210,260,280,550,550,550,550,550
GET,GET /,739,0,52,71.46264459838251,27.641489054076374,626.7880569212139,18490.0,2.4722836265479513,0.0,52,68,78,88,130,180,270,360,630,630,630
GET,GET /api/v1/,216,186,11,19.204253978117507,7.159427972510457,310.78186503145844,107.47222222222223,0.7226160532264648,0.6222527125005669,11,15,21,26,40,52,69,94,310,310,310
GET,GET /api/v1/docs/,143,123,40,54.451686265012185,14.01719101704657,345.054344041273,668.4125874125874,0.4783985907934466,0.4114896969761814,40,50,60,68,87,130,310,330,350,350,350
GET,GET /api/v1/outputs/,182,85,87,101.65844558083175,24.19194590765983,349.4642520090565,53001.72527472527,0.6088709337371139,0.28436279872337733,89,130,150,160,190,220,270,320,350,350,350
GET,GET /api/v1/pdfs/,148,70,52,69.74203168411387,24.535752017982304,515.0605430826545,6669.378378378378,0.4951258142477629,0.2341811283604284,52,68,77,83,120,150,370,410,520,520,520
GET,GET /compress/,42,0,92,117.81323514047212,54.34372497256845,353.7179910345003,18676.0,0.14050867701625705,0.0,94,130,130,140,220,280,350,350,350,350,350
GET,GET /flatten/,49,0,99,116.65329375370804,54.09494903869927,258.95890791434795,18676.0,0.1639267898522999,0.0,99,120,130,160,220,220,260,260,260,260,260
GET,GET /healthz,67,0,10,21.463053203674395,6.3528959872201085,90.3059650445357,16.0,0.22414479428783862,0.0,10,18,30,34,56,75,80,90,90,90,90
GET,GET /metadata/,56,0,92,123.93879899796697,51.80738109629601,693.3826439781114,18676.0,0.18734490268834272,0.0,94,120,140,140,220,290,340,690,690,690,690
GET,GET /rotate/,58,0,100,125.10373079266142,51.65728600695729,580.8095829561353,18655.0,0.19403579207006924,0.0,100,120,150,180,210,300,300,580,580,580,580
GET,GET /to-images/,53,0,94,113.9037503733493,52.07609396893531,350.2402320737019,18676.0,0.17730856861575295,0.0,94,110,130,140,180,280,290,350,350,350,350
GET,GET /watermark/,55,0,100,124.13217765702443,53.30790195148438,371.6585149522871,18655.0,0.18399945799747947,0.0,100,130,150,160,210,310,370,370,370,370,370
POST,POST /api/v1/ops/compress/,323,0,45,63.07840845244865,23.923956090584397,556.93139298819,217.19504643962847,1.080578635148834,0.0,45,59,73,80,120,150,220,250,560,560,560
POST,POST /api/v1/ops/flatten/,149,0,49,65.95933976061266,24.880834040232003,464.6373939467594,228.5771812080537,0.4984712589386262,0.0,49,59,72,85,130,160,250,300,460,460,460
POST,POST /api/v1/ops/metadata/,75,0,56,73.00980538440247,25.37223498802632,654.1157299652696,206.46666666666667,0.25090835181474475,0.0,56,67,83,89,120,160,240,650,650,650,650
POST,POST /api/v1/ops/page-numbers/,64,0,43,72.11640917194018,24.49780993629247,629.3679360533133,172.484375,0.21410846021524882,0.0,43,55,86,95,140,200,350,630,630,630,630
POST,POST /api/v1/ops/rotate/,227,0,54,70.64044189030132,24.665834032930434,881.6561379935592,198.1057268722467,0.7594159448259606,0.0,54,69,81,90,120,160,210,280,880,880,880
POST,POST /api/v1/ops/to-images/,81,0,95,284.24721149825433,24.75755091290921,2086.365118972026,223.20987654320987,0.2709810199599243,0.0,95,120,160,290,770,1800,2000,2100,2100,2100,2100
POST,POST /api/v1/ops/watermark/,148,0,55,77.43667865587348,24.98567395377904,545.1863729394972,208.13513513513513,0.4951258142477629,0.0,56,70,86,95,130,190,370,410,550,550,550
POST,POST /api/v1/pdfs/ [medium],39,0,57,81.32711500048829,25.428583030588925,419.8514550225809,98.0,0.13047234294366725,0.0,57,67,100,110,140,300,420,420,420,420,420
POST,POST /api/v1/pdfs/ [small],107,0,45,53.788400487974286,25.03228501882404,178.70432802010328,98.76635514018692,0.3579625819223691,0.0,45,57,68,76,89,110,140,150,180,180,180
POST,POST /api/v1/pdfs/ [tiny],216,0,49,65.55627276732896,24.778383900411427,416.48765897843987,97.81944444444444,0.7226160532264648,0.0,50,65,73,79,110,150,270,360,420,420,420
POST,POST /compress/,1073,0,120,143.27668795917177,54.01547998189926,914.0794270206243,7893.033550792172,3.589662153296281,0.0,120,140,170,190,240,310,410,580,840,910,910
POST,POST /flatten/,740,695,44,64.42303725178479,24.404532043263316,617.6476179389283,6175.058108108108,2.4756290712388145,2.3250840601499676,44,62,74,84,110,160,250,320,620,620,620
POST,POST /page-numbers/,560,0,50,69.20612385064098,26.019121054559946,660.6088590342551,15119.610714285714,1.8734490268834272,0.0,50,62,74,83,110,150,330,470,660,660,660
POST,POST /rotate/,823,0,110,141.70337336071125,59.42421592772007,782.8003779286519,6738.765492102066,2.7533009805804656,0.0,110,140,160,180,250,310,440,610,780,780,780
POST,POST /to-images/,84,25,230,574.3382571908157,25.5742019508034,4084.414375014603,6691.75,0.2810173540325141,0.08363611727158157,240,360,1200,1300,1400,1500,3900,4100,4100,4100,4100
POST,POST /upload/ [medium],459,0,150,181.9800405209166,84.25877301488072,1076.591442921199,55523.31808278867,1.5355591131062376,0.0,150,180,200,210,290,350,570,750,1100,1100,1100
POST,POST /upload/ [small],1159,0,150,178.3783304043206,84.15659901220351,1342.8738539805636,57397.15789473684,3.8773703967105217,0.0,150,180,200,220,270,330,490,700,1200,1300,1300
POST,POST /upload/ [tiny],706,0,150,174.54343229280283,83.6242469958961,1295.1312150107697,42978.609065155804,2.361883951749464,0.0,150,170,200,210,270,340,440,550,1300,1300,1300
POST,POST /watermark/,745,0,45,61.85504053031788,26.52815997134894,842.6125510595739,18655.142281879194,2.492356294693131,0.0,45,59,69,79,110,140,180,270,840,840,840
,Aggregated,9636,1184,90,116.1975715187578,6.3528959872201085,4084.414375014603,20268.631589871315,32.2367050411584,3.9610065139821033,90,120,140,160,210,280,400,610,1500,4100,4100
